StockCode,CurrentPrice,Elasticity,RecommendedPrice
16207A,3.0,-2.0575,2.92
16207B,2.65,-2.7336,2.12
16212,1.61,-0.5539,1.93
16215,0.65,-1.0,0.65
16216,0.22,-1.35,0.26
16218,0.5,-1.1146,0.6
16219,0.56,-1.2639,0.68
16225,1.61,-1.3027,1.93
16235,0.31,-2.6382,0.25
16236,0.31,-2.4966,0.26
16237,0.3,-2.593,0.24
16238,0.31,-3.1585,0.25
16239,2.66,-2.8938,2.12
16243B,5.5,-4.3324,4.4
16244A,4.07,-4.389,3.26
16244B,3.87,-0.3304,4.65
16245A,1.25,-1.0,1.25
16248B,1.25,-1.0,1.25
16254,1.27,-0.0158,1.52
16256B,0.58,-3.755,0.47
16256C,0.42,-1.0,0.42000000000000004
16258A,0.52,-2.2546,0.47
16258B,0.36,-1.0,0.3635294117647059
16259,0.15,-0.1761,0.18
17001,0.28,-5.5654,0.22
17003,0.3,-1.2968,0.36
17007B,2.1,-1.0,2.1
17011A,2.77,-2.3338,2.42
17011B,1.2,-1.0,1.2
17011C,2.48,-1.0,2.475
17011D,1.84,-1.0,1.8375
17011E,0.65,-1.0,0.65
17011F,2.22,-1.8674,2.39
17012A,2.23,-1.7224,2.66
17012B,2.2,-1.3723,2.65
17012C,2.04,-1.4438,2.45
17012D,1.95,-2.2369,1.76
17012E,2.44,-3.4924,1.95
17012F,1.91,-1.8931,2.02
17013B,1.71,-1.0,1.7066666666666668
17013C,0.42,-1.0,0.42
17013D,1.76,-1.7247,2.09
17013F,1.38,-2.2001,1.26
17014A,1.76,-1.108,2.11
17014C,1.93,-1.0,1.925
17014D,1.8,-2.3165,1.58
17014E,1.42,-2.5517,1.17
17014F,1.31,-1.0,1.3125
17021,0.3,-12.6915,0.24
17027A,0.35,-1.0,0.355
17028J,0.42,-1.0,0.42
17033,0.29,-22.6347,0.23
17038,0.42,-1.298,0.51
17039,0.38,-3.7026,0.3
17061,0.04,-1.0,0.04
17084A,0.21,-1.0,0.21
17084G,0.21,-1.0,0.21
17084J,0.21,-1.0,0.21000000000000002
17084N,0.35,-3.3575,0.28
17084P,0.34,-3.8588,0.27
17084R,0.2,-4.5173,0.16
17090A,1.19,-5.9992,0.95
17090D,1.24,-4.1787,0.99
17091A,1.03,-1.3394,1.24
17091B,1.42,-0.5,1.7
17091F,1.58,-1.0,1.58
17091J,0.91,-1.1141,1.09
17096,0.32,-4.567,0.26
17107D,2.55,-1.0,2.55
17108D,0.42,-1.0,0.42
17109A,1.19,-2.41,1.01
17109B,1.32,-3.0419,1.05
17109C,1.24,-3.5148,0.99
17109D,1.42,-2.1824,1.31
17129C,0.83,-13.5552,0.67
17129D,1.21,-0.5,1.45
17129F,1.41,-2.023,1.39
17136A,0.1,-2.6751,0.08
17164B,0.42,-15.4271,0.33
17164D,0.42,-42.1702,0.33
17165B,1.03,-5.2107,0.82
17165D,1.04,-5.1223,0.83
17174,0.42,-1.0,0.42
17178,1.23,-24.7301,0.99
17181,3.75,-2.0959,3.59
17191A,3.75,-1.0,3.75
18007,0.25,-2.8242,0.2
18010,0.56,-1.0,0.5566666666666666
18094C,1.87,-1.9207,1.96
18096C,3.4,-0.9906,4.08
18096c,5.15,-1.0,5.151666666666666
18097A,2.55,-1.0,2.55
18097B,2.55,-1.0,2.55
18097C,2.82,-2.8593,2.26
18098A,2.95,-1.0,2.95
18098B,2.95,-1.0,2.9500000000000006
18098C,3.3,-0.5,3.96
18098c,5.07,-0.5,6.08
20615,2.65,-0.5002,3.18
20616,2.13,-0.3736,2.56
20617,2.42,-0.3907,2.9
20618,2.28,-0.2726,2.73
20619,2.35,-1.0973,2.82
20620,4.1,-2.9892,3.28
20621,2.35,-0.7593,2.82
20622,2.67,-0.649,3.2
20652,1.41,-1.7628,1.63
20653,1.41,-2.0025,1.41
20654,1.38,-1.4074,1.65
20655,1.7,-1.229,2.04
20657,1.32,-2.3147,1.16
20658,1.68,-1.5067,2.01
20659,1.56,-0.4979,1.88
20660,1.25,-1.0,1.25
20661,3.01,-1.382,3.61
20662,2.71,-2.5905,2.21
20663,2.57,-1.9431,2.65
20664,2.71,-0.4396,3.26
20665,3.84,-1.6468,4.6
20666,2.41,-1.4819,2.89
20667,2.64,-0.5,3.17
20668,0.17,-0.5,0.2
20669,1.6,-0.6542,1.92
20670,2.86,-2.2577,2.57
20671,1.57,-1.6623,1.88
20672,1.75,-1.7417,2.05
20673,1.25,-1.0,1.25
20674,1.51,-2.2856,1.34
20675,1.51,-2.7047,1.2
20676,1.55,-2.0982,1.48
20677,1.58,-2.0961,1.51
20678,1.65,-1.0,1.65
20679,6.67,-2.6823,5.33
20680,3.25,-1.0,3.25
20681,3.88,-0.6448,4.65
20682,3.89,-1.627,4.66
20683,3.25,-1.0,3.25
20684,3.63,-0.7665,4.36
20685,8.41,-3.4617,6.73
20686,3.75,-0.9925,4.51
20688,6.0,-1.78,6.85
20689,6.17,-2.2829,5.49
20692,4.88,-2.5647,4.0
20693,5.21,-0.1482,6.25
20694,4.39,-2.025,4.33
20695,4.85,-1.419,5.82
20696,4.72,-1.1665,5.67
20697,2.51,-5.9769,2.01
20698,2.51,-6.3042,2.01
20699,3.14,-1.2766,3.76
20700,5.47,-1.4445,6.56
20701,4.42,-1.2946,5.3
20702,4.3,-2.4521,3.63
20703,4.26,-2.0013,4.26
20704,6.37,-1.4555,7.65
20705,5.43,-1.7741,6.22
20707,1.23,-1.5851,1.48
20711,2.73,-2.0463,2.67
20712,2.74,-0.121,3.29
20713,2.58,-0.3651,3.09
20714,0.95,-1.8804,1.01
20715,1.06,-1.0,1.06
20716,1.45,-1.1687,1.74
20717,1.6,-1.8792,1.71
20718,1.66,-1.0877,1.99
20719,1.15,-0.5875,1.38
20721,0.85,-1.0,0.85
20723,1.14,-0.1483,1.37
20724,1.1,-0.605,1.32
20725,2.06,-1.2817,2.47
20726,2.11,-0.3743,2.53
20727,2.02,-1.2921,2.42
20728,1.97,-1.8258,2.18
20729,1.4,-1.9048,1.48
20730,1.09,-4.7987,0.87
20731,1.4,-2.7889,1.12
20733,0.85,-3.0366,0.68
20734,1.34,-1.4916,1.6
20735,1.2,-0.2018,1.44
20736,0.84,-27.9334,0.67
20737,1.7,-1.0,1.7
20738,0.95,-1.6186,1.15
20739,8.65,-1.0,8.65
20747,15.72,-1.7141,18.86
20748,12.39,-2.9256,9.91
20749,8.08,-0.8271,9.7
20750,8.13,-0.3717,9.76
20751,2.3,-0.5,2.76
20752,2.39,-1.5646,2.87
20753,2.66,-0.5,3.19
20754,2.5,-0.5,3.0
20755,0.92,-2.5993,0.75
20756,0.81,-5.702,0.65
20757,0.84,-3.8024,0.68
20758,0.82,-6.0345,0.66
20759,0.77,-15.2002,0.62
20760,0.79,-3.3103,0.64
20761,4.04,-1.1636,4.85
20762,3.89,-1.9011,4.1
20763,3.86,-1.8158,4.29
20764,4.17,-1.4073,5.0
20765,3.9,-2.1709,3.61
20766,3.97,-1.354,4.76
20767,2.68,-1.9175,2.8
20768,2.56,-2.2325,2.32
20769,2.56,-2.0526,2.5
20770,2.48,-4.9644,1.98
20771,2.56,-2.8829,2.04
20772,2.54,-2.6256,2.05
20773,1.74,-0.559,2.08
20774,1.73,-2.0406,1.7
20775,1.75,-2.4744,1.47
20776,1.78,-0.5,2.14
20777,1.8,-1.9836,1.81
20778,1.8,-3.4357,1.44
20780,6.86,-0.784,8.23
20781,6.19,-0.7267,7.43
20782,6.85,-0.3733,8.22
20783,7.61,-0.7074,9.13
20784,36.43,-2.2286,33.04
20785,37.56,-1.9765,38.01
20786,36.88,-1.1642,44.25
20787,38.02,-0.5707,45.63
20791,12.75,-1.0,12.75
20793,8.94,-1.5811,10.72
20794,3.47,-2.3213,3.05
20795,2.96,-1.5809,3.55
20796,2.35,-1.961,2.4
20798,3.07,-2.0989,2.93
20799,3.13,-0.5113,3.75
20800,3.62,-2.0202,3.58
20801,2.24,-1.9961,2.24
20802,2.11,-1.1645,2.53
20803,1.72,-1.5531,2.06
20804,2.65,-0.5,3.18
20812,2.55,-1.0,2.55
20814,1.21,-7.458,0.96
20816,5.38,-0.8742,6.45
20818,4.49,-1.186,5.39
20819,3.89,-1.462,4.66
20820,4.95,-1.0,4.95
20821,7.88,-0.5254,9.46
20822,4.65,-1.0,4.65
20823,3.56,-0.3953,4.27
20825,6.83,-0.5,8.2
20826,1.35,-1.108,1.62
20827,1.63,-1.4671,1.96
20828,2.94,-2.9711,2.35
20829,2.42,-1.4644,2.91
20830,2.98,-0.5876,3.58
20831,2.71,-1.5575,3.26
20832,0.94,-1.8466,1.03
20833,27.63,-1.0,27.630000000000003
20835,3.61,-0.7734,4.33
20836,1.12,-0.1826,1.35
20837,1.18,-0.3148,1.42
20838,1.95,-0.9901,2.34
20839,2.62,-1.2661,3.14
20840,2.22,-1.4143,2.67
20845,7.17,-0.5,8.6
20846,1.57,-1.2852,1.89
20847,4.85,-0.4763,5.82
20848,2.95,-1.0,2.9500000000000006
20849,4.05,-3.6513,3.24
20850,2.84,-14.7213,2.27
20851,5.97,-5.3374,4.77
20854,1.68,-0.5,2.01
20855,1.65,-1.0627537423520276e+16,1.32
20856,1.66,-2.4007,1.42
20857,1.65,-4691241496735742.0,1.32
20858,1.65,-1.0,1.65
20860,2.1,-1.0,2.1
20861,2.1,-1.0,2.1
20862,2.62,-0.9138,3.15
20863,2.41,-2.1612,2.24
20864,2.2,-2.4026,1.88
20865,2.2,-3.7293,1.76
20866,1.5,-1.7221,1.78
20867,1.41,-0.8719,1.69
20868,0.92,-1.0711,1.11
20869,0.95,-0.6887,1.14
20870,2.82,-1.0,2.8187499999999996
20871,2.68,-1.5215,3.22
20877,0.42,-1.0,0.42000000000000004
20878,1.46,-2.4409,1.23
20879,1.63,-1.0,1.6253846153846152
20881,0.85,-1.0,0.85
20882,2.95,-1.0,2.95
20884,2.1,-1.0,2.1
20885,2.95,-1.0,2.95
20886,2.41,-1.444,2.89
20887,5.62,-1.0,5.615
20888,3.89,-1.2811,4.66
20889,2.34,-1.5087,2.81
20890,2.99,-1.0,2.9925
20891,8.13,-1.0,8.126666666666667
20892,16.21,-1.1931,19.46
20893,2.85,-1.6015,3.42
20894,3.39,-1.3988,4.07
20895,2.95,-1.0,2.95
20896,2.95,-0.5,3.54
20897,3.86,-0.3947,4.64
20898,3.19,-0.5,3.83
20899,2.95,-1.0,2.95
20901,9.43,-0.7767,11.31
20902,9.39,-1.1363,11.27
20903,7.17,-1.332,8.61
20905,6.35,-1.0,6.35
20906,4.05,-0.5,4.86
20910,8.26,-0.412,9.91
20913,3.8,-0.7178,4.56
20914,3.23,-3.4527,2.58
20931,4.83,-0.9697,5.8
20932,4.71,-1.6188,5.65
20933,4.1,-1.7978,4.62
20934,7.24,-0.4522,8.69
20935,3.07,-1.729,3.64
20936,3.67,-1.9354,3.8
20939,0.85,-1.0,0.85
20940,3.48,-1.0,3.475454545454546
20941,1.78,-1.7563,2.07
20942,1.25,-1.0,1.25
20943,1.66,-1.948,1.71
20950,0.75,-0.4632,0.91
20952,0.67,-0.3434,0.8
20953,1.65,-1.0,1.65
20954,8.53,-1.0,8.530000000000001
20956,1.77,-2.39,1.53
20957,1.58,-0.5,1.89
20958,1.92,-10.2646,1.54
20960,1.66,-3.4089,1.33
20961,1.7,-1.8798,1.82
20963,1.76,-1.4325,2.11
20964,2.55,-1.0,2.55
20966,1.8,-4.9734,1.44
20967,3.99,-2.5559,3.28
20968,4.75,-1.9574,4.86
20969,4.27,-0.5,5.12
20970,4.16,-0.6845,5.0
20971,1.41,-0.8884,1.69
20972,1.41,-3.4421,1.13
20973,0.78,-0.5,0.94
20974,0.75,-0.6332,0.9
20975,0.74,-1.6626,0.89
20976,0.75,-1.7792,0.85
20977,1.56,-0.961,1.87
20978,1.58,-1.2343,1.89
20979,1.56,-2.5466,1.29
20980,1.4,-1.1091,1.68
20981,0.96,-1.0835,1.16
20982,0.96,-0.5,1.15
20983,0.95,-0.4711,1.14
20984,0.54,-2.384,0.46
20985,1.54,-1.7654,1.77
20986,1.55,-1.9042,1.63
20987,3.02,-1.0,3.0181818181818185
20988,1.95,-1.0,1.9500000000000002
20989,2.27,-0.5,2.72
20990,2.25,-0.5,2.7
20991,0.95,-7.1589,0.76
20992,0.69,-2.3544,0.6
20993,0.84,-4.3344,0.67
20994,0.85,-1.0,0.85
20996,0.38,-2.0596,0.37
20997,4.72,-0.5311,5.66
20998,2.97,-0.154,3.56
21000,3.75,-0.5,4.5
21001,4.89,-0.5,5.87
21002,3.53,-2.0224,3.49
21003,5.93,-4.7198,4.74
21004,4.79,-0.8552,5.75
21007,1.18,-0.5075,1.42
21008,2.51,-1.0,2.51
21009,1.48,-3.6851,1.18
21010,1.48,-3.9371,1.18
21011,1.26,-0.6667,1.52
21012,2.33,-0.8154,2.8
21014,0.82,-2.9372,0.65
21015,0.78,-3.1273,0.63
21016,0.97,-1.9824,0.97
21017,1.34,-1.4212,1.61
21018,0.92,-0.5,1.1
21025,1.52,-1.6041,1.83
21026,1.63,-1.6547,1.95
21027,1.27,-1.386,1.52
21028,1.62,-1.7822,1.85
21030,1.2,-0.6115,1.45
21031,1.32,-0.9137,1.59
21032,1.39,-1.6732,1.67
21033,3.34,-2.3998,2.87
21034,0.95,-0.5,1.14
21035,4.04,-0.9215,4.84
21036,2.55,-1.0,2.55
21038,2.25,-0.7182,2.7
21039,3.0,-1.0855,3.61
21040,2.44,-1.5231,2.92
21041,4.08,-0.5,4.9
21042,6.89,-0.9245,8.27
21043,4.27,-1.9197,4.46
21051,2.19,-2.0226,2.16
21054,9.59,-0.5,11.51
21055,10.5,-0.694,12.6
21056,9.69,-0.774,11.62
21058,0.99,-2.2582,0.89
21059,0.9,-2.1694,0.83
21060,0.94,-0.6675,1.13
21061,0.97,-2.0511,0.94
21062,0.87,-1.8663,0.93
21063,0.94,-1.7845,1.07
21064,5.54,-1.8377,6.07
21065,5.01,-2.0641,4.86
21066,1.3,-2.4488,1.09
21067,1.51,-2.343,1.32
21068,1.57,-1.5936,1.89
21069,1.69,-1.9494,1.74
21070,1.59,-1.3385,1.91
21071,1.62,-2.4716,1.36
21076,0.98,-0.5,1.18
21077,0.92,-0.8279,1.11
21078,1.11,-1.7476,1.3
21080,1.03,-1.635,1.23
21081,0.85,-1.0,0.85
21082,1.07,-2.5007,0.89
21084,0.57,-1.6646,0.68
21085,0.77,-0.5,0.93
21086,0.89,-0.2757,1.07
21087,0.75,-0.6248,0.9
21088,0.47,-1.6048,0.57
21089,0.5,-0.7802,0.6
21090,0.73,-2.0488,0.71
21091,1.03,-0.9361,1.23
21092,1.11,-3.7441,0.89
21094,0.99,-1.1124,1.18
21095,1.0,-1.7483,1.17
21096,0.66,-2.0988,0.63
21097,0.85,-1.0,0.85
21098,1.62,-3.1967,1.3
21099,0.75,-2.7715,0.6
21100,2.24,-2.2137,2.04
21102,3.06,-2.3657,2.65
21106,3.7,-1.569,4.44
21107,3.65,-2.3218,3.21
21108,3.02,-2.2028,2.76
21109,6.73,-2.1946,6.18
21110,7.44,-1.7768,8.51
21111,3.54,-1.9082,3.71
21112,3.39,-2.6931,2.71
21114,1.81,-0.7534,2.17
21115,7.75,-1.0523,9.29
21116,6.78,-2.2596,6.08
21117,1.84,-1.1534,2.21
21118,2.54,-0.7381,3.04
21119,13.67,-1.0,13.67
21120,16.98,-1.0,16.98
21121,1.36,-2.4666,1.14
21122,1.34,-3.3154,1.07
21123,1.24,-2.3791,1.07
21124,1.3,-3.9432,1.04
21125,1.31,-2.7689,1.05
21126,1.34,-2.5623,1.1
21127,7.31,-1.5408,8.77
21128,9.55,-1.1973,11.46
21129,8.95,-1.5245,10.74
21130,3.98,-2.4125,3.4
21131,5.77,-1.5861,6.92
21132,5.66,-0.7569,6.8
21133,2.14,-0.5,2.57
21134,2.15,-0.5,2.58
21135,2.0,-0.6702,2.4
21136,1.99,-0.5,2.39
21137,4.14,-0.5,4.97
21143,2.27,-2.9611,1.81
21144,1.07,-0.5,1.29
21145,3.41,-0.4022,4.09
21146,2.18,-3.2301,1.74
21147,2.14,-3.0375,1.71
21153,11.8,-1.1776,14.16
21154,1.77,-0.5471,2.13
21155,2.83,-0.5773,3.4
21156,2.24,-2.1761,2.07
21157,2.91,-0.8433,3.5
21158,1.27,-1.5661,1.53
21159,1.33,-1.0574,1.6
21160,1.51,-2.2279,1.37
21161,1.68,-0.4988,2.01
21162,1.28,-1.1032,1.54
21163,1.35,-1.2486,1.62
21164,3.28,-0.2855,3.94
21165,2.14,-1.0914,2.56
21166,2.28,-3.6292,1.83
21167,0.33,-3.357,0.27
21169,2.13,-1.7976,2.4
21171,1.68,-1.6773,2.01
21172,1.9,-2.1568,1.78
21173,2.21,-0.9401,2.65
21174,2.52,-1.4091,3.03
21175,2.56,-1.9445,2.64
21179,1.33,-1.4789,1.6
21181,2.37,-3.6269,1.9
21185,7.37,-0.5,8.84
21186,2.03,-1.7197,2.42
21187,2.01,-2.0849,1.93
21188,3.63,-1.7391,4.27
21189,2.48,-0.7504,2.98
21190,1.97,-1.7338,2.33
21191,2.92,-0.7689,3.5
21192,2.36,-1.1885,2.84
21193,2.84,-0.0144,3.41
21194,2.03,-0.8567,2.44
21195,3.0,-1.0516,3.61
21196,1.93,-2.088,1.85
21197,1.63,-0.82,1.96
21198,1.74,-2.0152,1.73
21199,1.87,-2.2546,1.68
21200,2.02,-2.3677,1.75
21201,2.98,-2.2277,2.71
21202,1.77,-2.1274,1.67
21203,2.04,-2.6847,1.63
21204,2.0,-2.0262,1.97
21205,2.92,-1.1321,3.5
21206,1.86,-2.2104,1.69
21207,1.76,-2.3594,1.53
21208,1.65,-1.0046,1.98
21209,1.75,-0.9583,2.09
21210,1.77,-2.6463,1.42
21211,1.66,-1.8585,1.8
21212,0.71,-1.4424,0.85
21213,0.74,-1.3799,0.89
21214,1.99,-0.1873,2.39
21215,0.87,-1.9717,0.88
21216,6.91,-0.0578,8.29
21217,11.71,-1.3082,14.06
21218,5.29,-1.4445,6.34
21219,1.57,-2.1089,1.49
21220,1.65,-0.8464,1.98
21221,1.51,-1.3879,1.81
21222,1.52,-1.286,1.83
21223,1.42,-1.6598,1.71
21224,1.26,-0.1937,1.51
21225,1.25,-1.0,1.25
21226,1.09,-2.1541,1.01
21228,1.29,-1.2735,1.55
21231,1.5,-2.3162,1.32
21232,1.53,-2.7776,1.23
21238,1.02,-3.2631,0.82
21239,1.06,-2.6962,0.85
21240,1.05,-3.2084,0.84
21241,0.98,-3.1561,0.78
21242,1.99,-1.4491,2.39
21243,2.01,-2.2553,1.8
21244,1.95,-3.645,1.56
21245,1.92,-2.3283,1.68
21246,5.09,-0.5,6.1
21247,1.88,-0.1098,2.26
21248,1.68,-1.1245,2.02
21249,3.7,-2.1997,3.4
21250,3.22,-2.1533,3.01
21251,3.55,-1.0641,4.26
21252,3.36,-2.2664,3.01
21253,4.6,-0.7741,5.51
21255,2.39,-0.5,2.87
21256,2.42,-0.5,2.91
21257,10.54,-0.7172,12.65
21258,17.08,-0.5,20.49
21259,6.94,-0.2993,8.32
21260,3.79,-1.2013,4.55
21261,6.49,-1.0035,7.79
21262,6.11,-0.9067,7.33
21263,3.16,-1.026,3.79
21264,3.49,-1.1954,4.18
21265,3.72,-1.0487,4.46
21266,4.3,-1.0,4.3
21267,3.42,-1.0,3.4200000000000004
21268,1.27,-0.5,1.53
21269,9.51,-0.2602,11.42
21270,12.04,-1.2517,14.44
21272,1.64,-2.6727,1.32
21274,14.62,-0.3006,17.54
21275,14.12,-1.8241,15.63
21276,4.25,-5.6508,3.4
21277,24.45,-0.5,29.34
21278,3.49,-1.6083,4.19
21279,3.64,-2.1123,3.45
21280,2.99,-2.3193,2.63
21281,3.53,-2.2959,3.12
21282,4.76,-0.8599,5.71
21283,3.66,-1.3745,4.39
21284,1.97,-2.1169,1.87
21285,2.35,-2.1685,2.18
21286,2.95,-1.6585,3.55
21287,0.86,-1.5655,1.03
21288,3.36,-1.0458,4.03
21289,1.31,-2.8733,1.05
21290,1.25,-1.0,1.25
21291,0.98,-2.7356,0.78
21292,0.82,-1.7603,0.94
21293,3.01,-1.236,3.61
21294,1.13,-0.9228,1.36
21298,19.38,-1.0,19.37857142857143
21299,11.02,-2.0009,11.01
21300,23.48,-1.0,23.479166666666668
21303,15.43,-1.9743,15.64
21304,11.13,-3.4928,8.91
21306,1.43,-0.9523,1.71
21307,2.12,-1.3985,2.55
21308,12.16,-1.0,12.158333333333333
21309,9.16,-1.0,9.16
21310,29.95,-1.0,29.95
21311,1.55,-0.5763,1.86
21312,6.81,-1.8961,7.21
21313,1.14,-1.9469,1.17
21314,2.78,-0.3609,3.34
21316,3.07,-1.5221,3.68
21317,6.02,-1.1143,7.22
21318,1.6,-1.9834,1.61
21319,1.99,-0.8249,2.39
21320,3.16,-2.2947,2.8
21321,3.08,-2.1606,2.86
21322,4.97,-1.2622,5.96
21323,5.51,-2.099,5.26
21324,3.68,-0.9896,4.42
21326,0.81,-0.4255,0.97
21327,2.01,-1.7839,2.28
21328,2.26,-2.4118,1.93
21329,2.11,-1.4826,2.53
21330,2.27,-0.7551,2.72
21331,14.57,-1.2666,17.48
21332,11.98,-1.5346,14.38
21333,3.23,-1.0251,3.88
21335,25.33,-0.0985,30.4
21336,3.43,-1.1633,4.11
21337,3.46,-0.5,4.16
21338,6.31,-6.2234,5.05
21339,19.26,-15.3054,15.41
21340,13.12,-1.2015,15.74
21341,7.19,-0.3547,8.62
21343,8.28,-1.0,8.283333333333333
21344,8.92,-1.858,9.65
21347,5.95,-1.0,5.95
21348,3.14,-2.745,2.51
21349,8.43,-0.6728,10.12
21350,2.94,-98.3143,2.35
21351,5.52,-5.8781,4.41
21352,5.36,-2.3921,4.61
21353,8.99,-1.0,8.994444444444445
21354,1.49,-2.1327,1.4
21355,1.46,-0.5,1.75
21356,1.52,-1.0657,1.82
21357,1.51,-0.5,1.81
21358,1.29,-0.3379,1.54
21359,14.86,-1.0879,17.83
21360,10.09,-1.1162,12.11
21361,14.3,-0.751,17.16
21363,5.99,-0.4211,7.18
21364,7.59,-0.9797,9.11
21365,2.55,-0.7953,3.06
21366,6.11,-1.1157,7.34
21367,2.64,-0.7316,3.17
21368,1.86,-1.0517,2.23
21369,3.15,-0.687,3.77
21370,7.31,-0.8177,8.78
21371,2.6,-0.9856,3.11
21372,2.66,-0.3907,3.2
21373,1.25,-1.1682,1.5
21374,2.91,-0.8533,3.49
21375,7.96,-0.7891,9.55
21376,5.79,-1.0737,6.95
21377,2.52,-2.0939,2.41
21378,2.15,-1.9529,2.2
21379,1.93,-2.0485,1.88
21380,3.4,-1.859,3.68
21381,2.19,-1.3963,2.62
21382,2.23,-0.8643,2.67
21383,0.95,-1.8685,1.02
21384,1.05,-0.5,1.25
21385,1.05,-1.953,1.08
21386,0.83,-0.4598,1.0
21387,0.85,-1.0,0.85
21388,0.91,-1.0633,1.1
21389,1.0,-2.9483,0.8
21390,1.46,-1.427,1.75
21391,1.9,-1.2622,2.28
21392,2.37,-1.7388,2.79
21393,2.13,-1.424,2.56
21394,0.79,-1.3259,0.95
21395,0.91,-1.652,1.09
21396,1.71,-0.5,2.05
21397,1.67,-1.26,2.0
21398,1.91,-1.8049,2.14
21399,1.52,-1.7287,1.81
21400,0.3,-1.5998,0.36
21401,0.33,-1.2267,0.39
21402,0.37,-1.5819,0.44
21403,0.34,-1.4047,0.41
21406,8.65,-1.0,8.65
21407,5.26,-1.0165,6.32
21408,5.92,-1.256,7.11
21409,4.25,-1.0,4.25
21410,5.52,-1.2781,6.62
21411,4.88,-2.4011,4.18
21412,1.69,-0.2947,2.03
21413,1.67,-0.3984,2.01
21414,2.92,-2.4394,2.48
21415,2.63,-1.7104,3.15
21416,4.09,-2.9398,3.27
21417,3.02,-2.278,2.69
21418,3.47,-1.5722,4.16
21419,4.35,-2.155,4.06
21420,3.59,-1.4797,4.31
21421,1.56,-2.016,1.55
21422,1.07,-2.1204,1.01
21424,4.81,-1.3656,5.77
21425,4.17,-0.7023,5.0
21426,3.21,-2.1029,3.06
21427,3.02,-1.6228,3.62
21428,5.03,-2.1828,4.65
21429,2.11,-1.9923,2.11
21430,4.74,-1.3334,5.69
21431,1.94,-0.2677,2.32
21432,6.1,-2.0503,5.95
21437,3.97,-0.5,4.77
21438,3.83,-2.4705,3.22
21439,1.56,-1.6309,1.87
21440,1.32,-2.7797,1.06
21441,1.1,-2.0641,1.07
21442,1.12,-2.1124,1.06
21443,4.6,-2.0545,4.48
21444,5.46,-0.3563,6.55
21445,1.51,-0.5826,1.81
21446,1.49,-1.708,1.78
